Categoría,# Origen,Tipo Equipo/Rol,Sede,Área / Ubicación,Hostname / Nombre,Marca,Modelo,Marca / Modelo,Serial / Código,IP Principal,IP Gestión,IP WAN,IP LAN,VLAN,Estado,Rol / Función,Observaciones,Fuente
Equipos Generales,1,Servidor,Teusaquillo,TI / Infraestructura,,,,Dell PowerEdge R740,SN-TEU-SER-0001,10.10.0.1,,,,VLAN 10,✅ Activo,,Registrado en Directorio Activo,inventario||Inventario Equipos
Equipos Generales,2,Servidor,Campus,TI / Infraestructura,,,,HP ProLiant DL380,SN-CAM-SER-0002,10.20.0.2,,,,VLAN 10,✅ Activo,,Registrado en Directorio Activo,inventario||Inventario Equipos
Equipos Generales,3,Computador Escritorio,Teusaquillo,Contabilidad,,,,Lenovo ThinkCentre M720,SN-TEU-COM-0003,DHCP - AD DS,,,,VLAN 20,✅ Activo,,Registrado en Directorio Activo,inventario||Inventario Equipos
Equipos Generales,4,Computador Escritorio,Teusaquillo,Recursos Humanos,,,,HP EliteDesk 800 G5,SN-TEU-COM-0004,DHCP - AD DS,,,,VLAN 30,✅ Activo,,Registrado en Directorio Activo,inventario||Inventario Equipos
Equipos Generales,5,Computador Escritorio,Teusaquillo,Mercadeo,,,,Dell OptiPlex 7080,SN-TEU-COM-0005,DHCP - AD DS,,,,VLAN 40,✅ Activo,,Registrado en Directorio Activo,inventario||Inventario Equipos
Equipos Generales,6,Computador Escritorio,Teusaquillo,Producción,,,,HP ProDesk 400 G6,SN-TEU-COM-0006,DHCP - AD DS,,,,VLAN 50,✅ Activo,,Registrado en Directorio Activo,inventario||Inventario Equipos
Equipos Generales,7,Computador Escritorio,Teusaquillo,Financiera,,,,Lenovo IdeaCentre AIO,SN-TEU-COM-0007,DHCP - AD DS,,,,VLAN 70,✅ Activo,,Registrado en Directorio Activo,inventario||Inventario Equipos
Equipos Generales,8,Computador Escritorio,Campus,Ventas,,,,Dell OptiPlex 5090,SN-CAM-COM-0008,DHCP - AD DS,,,,VLAN 90,✅ Activo,,Registrado en Directorio Activo,inventario||Inventario Equipos
Equipos Generales,9,Computador Escritorio,Campus,Atención al Cliente,,,,HP EliteDesk 705 G5,SN-CAM-COM-0009,DHCP - AD DS,,,,VLAN 80,✅ Activo,,Registrado en Directorio Activo,inventario||Inventario Equipos
Equipos Generales,10,Computador Escritorio,Campus,Producción,,,,Lenovo ThinkCentre M80s,SN-CAM-COM-0010,DHCP - AD DS,,,,VLAN 50,✅ Activo,,Registrado en Directorio Activo,inventario||Inventario Equipos
Equipos Generales,11,Portátil,Teusaquillo,Gerencia,,,,Apple MacBook Pro M3,SN-TEU-POR-0011,DHCP - AD DS,,,,VLAN 60,✅ Activo,,Registrado en Directorio Activo,inventario||Inventario Equipos
Equipos Generales,12,Portátil,Teusaquillo,TI,,,,Lenovo ThinkPad X1 Carbon,SN-TEU-POR-0012,DHCP - AD DS,,,,VLAN 99,✅ Activo,,Registrado en Directorio Activo,inventario||Inventario Equipos
Equipos Generales,13,Portátil,Teusaquillo,Mercadeo,,,,HP EliteBook 840 G9,SN-TEU-POR-0013,DHCP - AD DS,,,,VLAN 40,✅ Activo,,Registrado en Directorio Activo,inventario||Inventario Equipos
Equipos Generales,14,Portátil,Campus,Investigación y Desarrollo,,,,Dell XPS 15 9520,SN-CAM-POR-0014,DHCP - AD DS,,,,VLAN 120,✅ Activo,,Registrado en Directorio Activo,inventario||Inventario Equipos
Equipos Generales,15,Portátil,Campus,Asesoría Legal,,,,HP ProBook 450 G9,SN-CAM-POR-0015,DHCP - AD DS,,,,VLAN 100,✅ Activo,,Registrado en Directorio Activo,inventario||Inventario Equipos
Equipos Generales,16,Portátil,Campus,Logística y Compras,,,,Lenovo ThinkPad T14,SN-CAM-POR-0016,DHCP - AD DS,,,,VLAN 110,✅ Activo,,Registrado en Directorio Activo,inventario||Inventario Equipos
Equipos Generales,17,Impresora,Teusaquillo,Contabilidad,,,,HP LaserJet Pro M404dn,SN-TEU-IMP-0017,10.10.0.17,,,,VLAN 20,✅ Activo,,Registrado en Directorio Activo,inventario||Inventario Equipos
Equipos Generales,18,Impresora,Teusaquillo,Recursos Humanos,,,,Canon imageCLASS MF445dw,SN-TEU-IMP-0018,10.10.0.18,,,,VLAN 30,✅ Activo,,Registrado en Directorio Activo,inventario||Inventario Equipos
Equipos Generales,19,Impresora,Teusaquillo,Gerencia,,,,Xerox VersaLink C405,SN-TEU-IMP-0019,10.10.0.19,,,,VLAN 60,✅ Activo,,Registrado en Directorio Activo,inventario||Inventario Equipos
Equipos Generales,20,Impresora,Campus,Financiera,,,,Brother HL-L8360CDW,SN-CAM-IMP-0020,10.20.0.20,,,,VLAN 70,✅ Activo,,Registrado en Directorio Activo,inventario||Inventario Equipos
Equipos Generales,21,Impresora,Campus,Ventas,,,,HP Color LaserJet E57540,SN-CAM-IMP-0021,10.20.0.21,,,,VLAN 90,✅ Activo,,Registrado en Directorio Activo,inventario||Inventario Equipos
Equipos Generales,22,Impresora,Campus,Producción,,,,Epson WorkForce Pro WF,SN-CAM-IMP-0022,10.20.0.22,,,,VLAN 50,✅ Activo,,Registrado en Directorio Activo,inventario||Inventario Equipos
Equipos Generales,23,Cámara IP,Teusaquillo,Acceso Principal,,,,Hikvision DS-2CD2143G2,SN-TEU-CÁM-0023,10.10.0.23,,,,VLAN 130,✅ Activo,,Registrado en Directorio Activo,inventario||Inventario Equipos
Equipos Generales,24,Cámara IP,Teusaquillo,Pasillo Piso 1,,,,Dahua IPC-HDW2849H,SN-TEU-CÁM-0024,10.10.0.24,,,,VLAN 130,✅ Activo,,Registrado en Directorio Activo,inventario||Inventario Equipos
Equipos Generales,25,Cámara IP,Teusaquillo,Parqueadero,,,,Axis P3245-V,SN-TEU-CÁM-0025,10.10.0.25,,,,VLAN 130,✅ Activo,,Registrado en Directorio Activo,inventario||Inventario Equipos
Equipos Generales,26,Cámara IP,Teusaquillo,Sala de Servidores,,,,Hikvision DS-2CD2T47G2,SN-TEU-CÁM-0026,10.10.0.26,,,,VLAN 10,✅ Activo,,Registrado en Directorio Activo,inventario||Inventario Equipos
Equipos Generales,27,Cámara IP,Campus,Recepción,,,,Hikvision DS-2CD2143G2,SN-CAM-CÁM-0027,10.20.0.27,,,,VLAN 130,✅ Activo,,Registrado en Directorio Activo,inventario||Inventario Equipos
Equipos Generales,28,Cámara IP,Campus,Bodega Producción,,,,Dahua SD49425XB-HNR,SN-CAM-CÁM-0028,10.20.0.28,,,,VLAN 50,✅ Activo,,Registrado en Directorio Activo,inventario||Inventario Equipos
Equipos Generales,29,Cámara IP,Campus,Perímetro Externo,,,,Axis Q6135-LE PTZ,SN-CAM-CÁM-0029,10.20.0.29,,,,VLAN 130,✅ Activo,,Registrado en Directorio Activo,inventario||Inventario Equipos
Equipos Generales,30,Televisor Smart,Teusaquillo,Sala de Reuniones,,,,"Samsung QN75Q80C 75""",SN-TEU-TEL-0030,DHCP - AD DS,,,,VLAN 60,✅ Activo,,Registrado en Directorio Activo,inventario||Inventario Equipos
Equipos Generales,31,Televisor Smart,Teusaquillo,Gerencia,,,,"LG OLED65C3 65""",SN-TEU-TEL-0031,DHCP - AD DS,,,,VLAN 60,✅ Activo,,Registrado en Directorio Activo,inventario||Inventario Equipos
Equipos Generales,32,Televisor Smart,Teusaquillo,Recepción,,,,"Sony XR-55X90K 55""",SN-TEU-TEL-0032,DHCP - AD DS,,,,VLAN 130,✅ Activo,,Registrado en Directorio Activo,inventario||Inventario Equipos
Equipos Generales,33,Televisor Smart,Campus,Auditorio,,,,"Samsung QN85QN90B 85""",SN-CAM-TEL-0033,DHCP - AD DS,,,,VLAN 60,✅ Activo,,Registrado en Directorio Activo,inventario||Inventario Equipos
Equipos Generales,34,Televisor Smart,Campus,Sala Capacitaciones,,,,"LG 75QNED90UPA 75""",SN-CAM-TEL-0034,DHCP - AD DS,,,,VLAN 60,✅ Activo,,Registrado en Directorio Activo,inventario||Inventario Equipos
Equipos Generales,35,Biométrico,Teusaquillo,Acceso Principal,,,,ZKTeco SF1000,SN-TEU-BIO-0035,10.10.0.35,,,,VLAN 130,✅ Activo,,Registrado en Directorio Activo,inventario||Inventario Equipos
Equipos Generales,36,Biométrico,Teusaquillo,Piso 2 - Oficinas,,,,Anviz W2 Pro,SN-TEU-BIO-0036,10.10.0.36,,,,VLAN 130,✅ Activo,,Registrado en Directorio Activo,inventario||Inventario Equipos
Equipos Generales,37,Biométrico,Teusaquillo,Sala de Servidores,,,,HID pivCLASS R10,SN-TEU-BIO-0037,10.10.0.37,,,,VLAN 10,✅ Activo,,Registrado en Directorio Activo,inventario||Inventario Equipos
Equipos Generales,38,Biométrico,Campus,Acceso Principal,,,,ZKTeco SpeedFace-V5L,SN-CAM-BIO-0038,10.20.0.38,,,,VLAN 130,✅ Activo,,Registrado en Directorio Activo,inventario||Inventario Equipos
Equipos Generales,39,Biométrico,Campus,Producción,,,,Suprema BioStation 2,SN-CAM-BIO-0039,10.20.0.39,,,,VLAN 50,✅ Activo,,Registrado en Directorio Activo,inventario||Inventario Equipos
Equipos Generales,40,Biométrico,Campus,DataCenter,,,,HID Signo 40K,SN-CAM-BIO-0040,10.20.0.40,,,,VLAN 10,✅ Activo,,Registrado en Directorio Activo,inventario||Inventario Equipos
Cámaras CCTV,1,Cámara IP,Teusaquillo,Acceso Principal - Exterior,Acceso Principal,Hikvision,DS-2CD2143G2-I,Hikvision DS-2CD2143G2-I,,10.10.13.1,,,,VLAN 130,✅ Activo,CCTV / NVR: NVR-TEU-01,Resolución: 4MP,inventario||Inventario Cámaras
Cámaras CCTV,2,Cámara IP,Teusaquillo,Recepción Piso 1 - Interior,Recepción Piso 1,Dahua,IPC-HDW2849H-S-IL,Dahua IPC-HDW2849H-S-IL,,10.10.13.2,,,,VLAN 130,✅ Activo,CCTV / NVR: NVR-TEU-01,Resolución: 8MP,inventario||Inventario Cámaras
Cámaras CCTV,3,Cámara IP,Teusaquillo,Pasillo Piso 1 - Interior,Pasillo Piso 1,Axis,P3245-V,Axis P3245-V,,10.10.13.3,,,,VLAN 130,✅ Activo,CCTV / NVR: NVR-TEU-01,Resolución: 2MP,inventario||Inventario Cámaras
Cámaras CCTV,4,Cámara IP,Teusaquillo,Pasillo Piso 2 - Interior,Pasillo Piso 2,Axis,P3245-V,Axis P3245-V,,10.10.13.4,,,,VLAN 130,✅ Activo,CCTV / NVR: NVR-TEU-01,Resolución: 2MP,inventario||Inventario Cámaras
Cámaras CCTV,5,Cámara IP,Teusaquillo,Sala Servidores - Interior,Sala Servidores,Hikvision,DS-2CD2T47G2-L,Hikvision DS-2CD2T47G2-L,,10.10.13.5,,,,VLAN 130,✅ Activo,CCTV / NVR: NVR-TEU-01,Resolución: 4MP,inventario||Inventario Cámaras
Cámaras CCTV,6,Cámara IP,Teusaquillo,Parqueadero Norte - Exterior,Parqueadero Norte,Hikvision,DS-2CD2T85FWD,Hikvision DS-2CD2T85FWD,,10.10.13.6,,,,VLAN 130,✅ Activo,CCTV / NVR: NVR-TEU-01,Resolución: 8MP,inventario||Inventario Cámaras
Cámaras CCTV,7,Cámara IP,Teusaquillo,Parqueadero Sur - Exterior,Parqueadero Sur,Dahua,SD49425XB-HNR PTZ,Dahua SD49425XB-HNR PTZ,,10.10.13.7,,,,VLAN 130,✅ Activo,CCTV / NVR: NVR-TEU-01,Resolución: 4MP,inventario||Inventario Cámaras
Cámaras CCTV,8,Cámara IP,Teusaquillo,Área Gerencia - Interior,Área Gerencia,Axis,Q6135-LE,Axis Q6135-LE,,10.10.13.8,,,,VLAN 130,✅ Activo,CCTV / NVR: NVR-TEU-01,Resolución: 2MP,inventario||Inventario Cámaras
